I1109145,ACM培训课程
I0909520,CorelDRAW平面广告设计
F1103130,C语言
F1131240,C语言
E0900140,C语言程序设计
H1107730,Java程序设计
H0303320,LED照明技术
I1208920,PASCO物理实验
K0948020,安全协议综合设计实验
B2023710,棒垒球C
H1105930,保险与金融数学
K0383110,材料计算综合实验
G0302945,材料科学与工程导论
G0334230,材料制备与表征
F0700620,测量学
E1102830,常微分方程
I1108530,程序设计基础
G1103330,抽象代数
G0190825,传感原理与信息感知技术
I9719010,大学生领导力开发团体辅导
I0409610,大学生职业素养提升与拓展
H0701920,地球科学概论
H0702420,地图学
I0409920,典型轴类零件的数控车削工艺与加工
G0400540,电机学
G0400625,电力电子技术
H0488020,电气工程专业英语
I0630220,电梯控制程序设计
I1025620,电子战技术及应用
H1627930,电子政务原理与实务
B2089510,定向越野C
L1723820,对外汉语教学实践
H1105425,多元统计分析
I1715440,俄语口语
H0400925,发电厂电气系统
K172125,法语综合技能训练 I
G1120840,泛函分析
E1101420,复变函数
E1103030,复变函数
E1102650,概率论与数理统计
E1179460,概率论与数理统计
D1102440,高等代数I
E1102540,高等代数II
E0196915,高级语言程序设计
E0700130,高级语言程序设计
H0400130,高级语言程序设计
K0140325,高级语言程序设计实验
K1666320,行政管理实务
H0327825,厚膜薄膜材料工艺技术
B2094710,花剑C
F0339830,化学电源基础
H0711420,环境生态学
H0948820,汇编语言程序设计
H1677720,婚姻家庭与继承法学
H0629020,机器人
H1105730,计量经济学
H0314120,计算材料学
G1103830,计算方法
G1104430,计算机操作系统
K1166210,计算机类综合实验1
H1139120,计算机类综合实验2
H0402320,计算机网络
H0702620,计算机网络
H0946620,计算机网络编程
H1108130,计算机网络基础
I0809320,计算机维护与维修
B2047110,健美操C
B2099710,交谊舞C
D1102720,解析几何
K0600220,课程设计基础实验
H1105830,控制理论基础
L1707520,口译实习
B2066110,啦啦操C
E1101640,离散数学
H1107640,离散数学
G1210530,理论力学
I0207220,量子物理与哲学
H1108530,模糊数学原理与应用
H0303520,纳米材料与纳米器件
H0304425,能源控制原理
B2078610,女子游泳C
B2062210,排球C
E0343330,普通化学
K0910610,企业合作课程I
K0920720,企业合作课程I：基于嵌入式OS的软件开发
K0910710,企业合作课程II
K0920920,企业合作课程II：面向手机的嵌入式软件开发
I1501420,企业经营决策模拟跨专业选修实验
B2026910,器械健身C
L0948310,嵌入式系统综合训练Ⅰ
L0948410,嵌入式系统综合训练Ⅲ
