1003350,微积分Ⅱ
1007240,数学分析Ⅲ
A0110520,信息科技与社会发展
A0110620,电子工程设计之微处理器最小系统设计
A0209620,电子工程设计之电子电路设计基础
A0209720,电子工程设计之高频电路设计与工程制作
A0316320,化学与人类
A0400220,工业产品设计概论
A0419420,工程设计
A0419520,机器人设计与制作
A0421220,成电英才创课
A0602320,电子工程设计之电子系统专题设计与制作
A0609620,问题驱动的创新与创业
A0708420,全球化时代的环境问题
A0800120,学术规范与论文写作
A0814720,计算机算法与程序设计
A0814820,工程导论
A1000120,系统思维与工程创新
A1100920,数学文化
A1111520,ACM-ICPC 算法与程序设计
A1111620,漫话数学建模
A1200120,物理学与社会进步
A1406020,跨界论道：科学走进人文
A1410320,生命科学导论
A1410610,突破创新的禁区
A1511420,营销管理：互联网思维与应用
A1511520,经济学概论
A1511620,创业管理
A1511720,工程管理
A1511820,知识产权管理
A1514120,风险投资与创业融资
A1514220,技术与创业管理
A1514320,创业过程模拟与实训
A1600120,人类发展与环境变迁
A1600220,中国古典文学著作选读
A1600320,心理学漫谈
A1600420,自然文学三部曲与环境伦理学
A1600520,生活中的罪与罚
A1610820,法律与社会
A1611520,管理方法与艺术
A1611620,社会学概论
A1613410,大学生创业法律风险防范
A1615020,中外文学通论
A1623120,大学生创业法律风险防范
A1702120,中西文化比较与交流
A1702220,外国经典文学著作选读
A1736220,世界文明史
A1736320,中华文明史
A1736420,中国哲学经典著作选读
A1736520,西方哲学经典著作选读
A1736620,文化与思维
A1800520,哲学导论
A1800620,逻辑与批判性思维
A1800720,科学技术史
A7301720,科学本性与人文精神
A7301820,儒学与中国文化
A7302210,人类文明经典赏析
A7303920,成电讲坛（二）
A7304010,成电讲坛（一）
A9700120,心理健康与创新能力
A9904920,音乐鉴赏
A9905020,艺术导论
A9905120,戏剧鉴赏
A9905220,电影鉴赏
A9905320,美术鉴赏
A9905420,舞蹈鉴赏
B0414120,汉语论文写作
B0818320,离散数学
B1700140,通用英语
B1700220,综合英语
B1700320,媒体英语视听说
B1700420,西方报刊选读
B1700520,公共演讲
B1700620,高级英语读写
B1700720,高级英语听说
B1701120,跨文化交际
B1701220,英语语言文化赏析
B1701320,英国文学与文化
B1701520,职场英语
B1701620,科技英语
B1701920,IT英语
B1702020,商务英语
B1703040,第二外语（日语）Ⅰ
B1703330,第二外语（日语）Ⅱ
B1703430,第二外语（德语）Ⅱ
B1703530,第二外语（法语）Ⅱ
B1704020,第二外语（英语）II
B1704320,第二外语（英语）V
B1717140,中级汉语II
B1717530,中国概况
B1717820,当代中国
B1728120,德语语言文化入门
B1728220,俄语语言文化入门
B1728320,学术英语读写
B1728520,中西文化对比
B1728620,日语语言文化入门
B1729260,留学学业英语
B1735720,考研学业英语
B1735820,留学学业英语
B1736780,综合汉语I
B1736880,综合汉语II
B1738540,通用英语 C（基础）
B1738640,通用英语 B（提高）
B1738740,通用英语 A（拓展）
B1741720,通用学术英语
B1744320,魅力英语
B1800130,思想道德修养与法律基础
B1800220,中国近现代史纲要
B1800360,毛泽东思想和中国特色社会主义理论体系概论
B1800430,马克思主义基本原理概论
B1800720,形势与政策
B1800830,思想道德修养与法律基础
B1801030,中国近现代史纲要
B2000110,大学体育I
B2000210,大学体育II
B2000410,大学体育IV
B2000810,武术格斗 C
B2000910,武术格斗 D
B2001010,击剑C
B2001110,击剑D
B2002110,瑜珈
B2003810,篮球裁判B
B2004410,综合体育B
B2004510,网球A
B2004610,网球B
B2005010,排球B
B2005110,综合体育A
B2005310,乒乓球B
B2005610,形体舞蹈B
B2005710,健美操B
B2005810,手球B
B2006410,棒垒球A
B2006510,击剑B
B2007110,五人制足球A
B2007210,五人制足球B
B2007910,人体运动基本原理与运动伤病防护B
B2008210,台球A
B2008310,台球B
B2008410,瑜伽B
B2008710,羽毛球A
B2008810,瑜伽A
B2009010,啦啦操B
B2009110,游泳A
B2009210,足球B
B2009310,器械健身A
B2009410,器械健身B
B2009610,游泳B
B2009710,足球A
B2009810,羽毛球B
B2010410,篮球A
B2010610,篮球B
B2010710,篮球裁判D
B2010910,五人制足球（挑战性课程）B
B2011110,气排球B
B2011310,形体舞蹈D
B2011410,气排球D
B2011610,身体运动功能训练B
B2018410,器械健身D
B2019010,女子游泳D
B2020710,篮球D
B2021310,羽毛球D
B2021810,健美操D
B2023510,足球C
B2023710,棒垒球C
B2025310,篮球C
B2026910,器械健身C
B2027810,综合体育C
B2030410,武术D
B2032010,综合体育D
B2038610,乒乓球D
B2041910,乒乓球C
B2043310,游泳D
B2049010,啦啦操D
B2049610,台球D
B2050210,网球C
B2050410,足球D
B2055510,曲棍球C
B2059210,排球D
B2060610,无线电测向D
B2066110,啦啦操C
B2068510,自卫防身术D
B2069410,手球D
B2071910,羽毛球C
B2075010,棒垒球D
B2076210,五人制足球C
B2076810,台球C
B2078610,女子游泳C
B2080810,手球C
B2081410,交谊舞D
B2088410,定向越野D
B2091610,五人制足球D
B2093110,瑜珈D
B2098910,网球D
B2099510,游泳C
B2700220,中国近现代史纲要
B2702130,综合英语
B2703530,英语文献阅读
B2705120,学术英语写作与交流
B9800110,军事理论
B9800320,形势与政策
B9800405,政治素质
B9800505,军事技能、体育Ⅵ
B9801405,空军知识
C1100850,数学（文）
C1200230,物理（文）
C1600430,中外文学通论
C1800830,哲学通论
C1800930,大国兴衰史
C2700220,管理与领导学
C2700320,科技写作
D1100160,微积分I
D1100250,微积分II
D1100540,线性代数与空间解析几何I
D1100735,概率论与数理统计
D1102160,数学分析I
D1102260,数学分析II
D1102440,高等代数I
D1102720,解析几何
D1111820,运筹学
D1111920,概率论与数理统计
D1113050,微积分I
D1113140,微积分II
D1200340,大学物理Ⅰ
D1200440,大学物理Ⅱ
D1200840,电磁学
D1204650,数学物理方法
D1208260,大学物理Ⅰ
D1208360,大学物理II
D1213640,大学物理
D1213730,大学物理I
D1213830,大学物理II
D1400130,无机与分析化学
D1410220,概率论与数理统计
D1600550,中外文学通论
D1801160,大国兴衰史
D2700160,数学分析I（含常微分方程）
D2700270,数学分析II（含常微分方程）
D2700540,复变函数与数理方程
D2700650,随机数学（含概率论、数理统计、随机过程）
D2700755,大学物理I
D2700930,程序设计方法
D2701125,计算机网络基础
D2702420,大学化学
D2702520,生物信息科学导论
D2702720,脑信息科学导论
D2703040,高等代数与几何II
D2703260,大学物理I
D2703360,大学物理II
D2703730,高等微积分III
D2704050,概率论与数理统计
D2704750,高等微积分II
D2704960,数学分析II（含常微分方程）
D3404610,类脑系统初探
D3404710,集成电路导论
E0100160,电子电路基础
E0100250,信号与系统
E0100340,信号与系统B
E0100345,信号与系统
E0100430,计算机系统原理
E0100635,计算机系统原理
E0100650,微处理器系统结构与嵌入式系统设计
E0101040,数字信号处理
E0101140,电子电路基础
E0102340,数字信号处理
E0108730,软件技术基础
E0109120,随机信号分析
E0116540,数字逻辑电路与系统
E0123340,通信原理
E0130340,微处理器系统结构与嵌入式系统设计
E0137730,计算机通信网
E0147830,软件技术基础
E0160845,信号与系统
